Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
2009,Ohio,0.156,0.047,0.258,0.5379999999999999
2009,Oklahoma,0.188,0.067,0.245,0.5
2009,Oregon,0.131,0.047,0.276,0.545
2009,Pennsylvania,0.151,0.051,0.26,0.537
2009,Puerto Rico,0.069,0.037000000000000005,0.18,0.715
2009,Rhode Island,0.102,0.049,0.29600000000000004,0.5539999999999999
2009,South Carolina,0.146,0.057,0.245,0.552
2009,South Dakota,0.125,0.05,0.272,0.5529999999999999
2009,Tennessee,0.17600000000000002,0.044000000000000004,0.247,0.5329999999999999
2009,Texas,0.11699999999999999,0.062,0.21600000000000003,0.605
2009,Utah,0.069,0.028999999999999998,0.151,0.7509999999999999
2009,Vermont,0.125,0.046,0.316,0.513
2009,Virginia,0.138,0.052000000000000005,0.244,0.565
2009,Virgin Islands,0.039,0.026000000000000002,0.111,0.825
2009,Washington,0.107,0.042,0.267,0.584
2009,West Virginia,0.207,0.049,0.245,0.499
2009,Wisconsin,0.126,0.061,0.26899999999999996,0.5429999999999999
2009,Wyoming,0.153,0.046,0.261,0.54
2008,Alabama,0.17300000000000001,0.049,0.21899999999999997,0.56
2008,Alaska,0.151,0.064,0.284,0.5
2008,Arizona,0.107,0.052000000000000005,0.27399999999999997,0.5670000000000001
2008,Arkansas,0.17,0.054000000000000006,0.263,0.514
2008,California,0.08900000000000001,0.051,0.233,0.627
2008,Colorado,0.12300000000000001,0.054000000000000006,0.249,0.575
2008,Connecticut,0.11599999999999999,0.043,0.301,0.54
2008,Delaware,0.134,0.044000000000000004,0.285,0.537
2008,District of Columbia,0.09300000000000001,0.07,0.225,0.612
2008,Florida,0.128,0.047,0.261,0.564
2008,Georgia,0.145,0.05,0.214,0.591
2008,Guam,0.212,0.062,0.19399999999999998,0.532
2008,Hawaii,0.11800000000000001,0.037000000000000005,0.254,0.5920000000000001
2008,Idaho,0.125,0.044000000000000004,0.21899999999999997,0.612
2008,Illinois,0.151,0.062,0.23399999999999999,0.5529999999999999
2008,Indiana,0.19699999999999998,0.063,0.23,0.51
2008,Iowa,0.141,0.046,0.247,0.5660000000000001
2008,Kansas,0.132,0.047,0.23199999999999998,0.59
2008,Kentucky,0.205,0.047,0.253,0.495
2008,Louisiana,0.16,0.045,0.19899999999999998,0.597
2008,Maine,0.14,0.040999999999999995,0.317,0.501
2008,Maryland,0.106,0.043,0.242,0.609
2008,Massachusetts,0.11699999999999999,0.044000000000000004,0.281,0.5579999999999999
2008,Michigan,0.15,0.055,0.255,0.541
2008,Minnesota,0.121,0.055,0.271,0.5539999999999999
2008,Mississippi,0.172,0.055,0.222,0.551
2008,Missouri,0.20199999999999999,0.048,0.25,0.501
2008,Montana,0.138,0.047,0.268,0.547
2008,Nationwide (States and DC),0.134,0.049,0.252,0.5539999999999999
2008,"Nationwide (States, DC, and Territories)",0.134,0.049,0.251,0.555
2008,Nebraska,0.134,0.049,0.25,0.5660000000000001
2008,Nevada,0.16399999999999998,0.057999999999999996,0.251,0.527
2008,New Hampshire,0.128,0.042,0.311,0.519
2008,New Jersey,0.107,0.040999999999999995,0.243,0.609
2008,New Mexico,0.128,0.066,0.249,0.557
